,ID,Colony,Species,Species_2,Site,Site_2,Tree_site,Tree_site2,tree_color,pch,Colony.ID,Rearing_Temp,initial_workers,initial_mass,Avg_WORK_wet_weight,lat,lon,Elevation,lon.2,lon.3,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,qpcr_block,FC_83,FC_70,FC_40,B_83,B_70,B_40,Axis.1,Axis.2,Axis.3,Axis.4
16,ApGXL-12-A,12-A,picea,picea,NOCK,NK,NK1,NK1,grey30,18,NOCK6,20,39,101.43,2.601,40.4392,75.25847,NA,-75.25847,-75.25847,105,115,31,8802,291,-71,362,194,-12,216,-12,1161,113,74,12,324,250,320,250,2,7.747211776,41.34465443,5.858635791,0.879370797,0.792736836,1.508258325,0.095632826,-0.229200097,0.001969474,0.017456576
17,ApGXL-12-D,12-D,rudis,rudis,NOCK,NK,NK2,NK2,grey30,18,NOCK8,20,60,132.19,2.203,40.4396,75.25933,NA,-75.25933,-75.25933,105,115,31,8802,291,-71,362,194,-12,216,-12,1161,113,74,12,324,250,320,250,2,6.526153968,50.61346826,6.903617638,0.869204436,0.36227017,0.738597828,0.092593629,-0.19111702,0.004261387,0.012685304
18,ApGXL-13-A,13-A,picea,picea,HSP,HP,HP1,HP1,blue,19,HSP6,20,100,184.46,1.845,41.0226,75.71777,NA,-75.71777,-75.71777,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,3,5.836126051,64.01026011,4.729542547,2.040320118,0.503350828,1.572349175,-0.0401401,-0.002097592,0.002268441,-0.010003303
19,ApGXL-13-B,13-B,picea,picea,HSP,HP,HP2,HP2,blue,19,HSP7,20,100,190.03,1.9,41.0226,75.71777,NA,-75.71777,-75.71777,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,3,7.046216263,28.9886865,6.818137567,1.683468252,1.174762189,1.558282101,-0.054600311,0.003154815,0.000982607,-0.005932259
20,ApGXL-13-C,13-C,picea,picea,HSP,HP,HP3,HP3,blue,19,HSP9,26,NA,NA,NA,41.0213,75.7173,NA,-75.7173,-75.7173,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,3,12.04300216,30.16633242,11.75261348,4.770055955,2.904759177,2.119453086,-0.058510736,0.003877481,0.000447682,-0.012447574
21,ApGXL-13-D,13-D,picea,picea,HSP,HP,HP4,HP4,blue,19,HSP12,26,NA,NA,NA,41.0219,75.7172,NA,-75.7172,-75.7172,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235,3,6.462506602,17.11030029,9.475854324,6.266533892,6.667514368,5.04109733,-0.03595445,-0.003722121,0.002532519,-0.012176467
22,ApGXL-15-A,15-A,picea,picea,DSF,DF,DF1,DF1,blue,19,DSF4,20,35,60.94,1.741,41.298,75.0112,NA,-75.0112,-75.0112,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240,3,15.41301662,66.58591451,14.82463833,1.626245475,0.578958142,0.873046568,-0.047756234,0.001085869,0.001696361,-0.005549049
23,ApGXL-15-B,15-B,picea,picea,DSF,DF,DF2,DF2,blue,19,DSF11,20,100,254.89,2.549,41.3046,75.0098,NA,-75.0098,-75.0098,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240,3,8.726847731,64.10356503,5.414033003,1.489046969,1.21792761,2.997975567,-0.058326099,0.003822531,0.000459724,-0.012188482
24,ApGXL-15-D,15-D,picea,picea,DSF,DF,DF4,DF3,blue,19,DSF12,26,68,172.86,2.542,41.3044,75.0093,NA,-75.0093,-75.0093,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240,3,7.379667877,37.56628727,11.67364103,4.399710315,4.54761575,3.047221375,-0.05719213,0.003464896,0.000583762,-0.011723326
25,APGXL-16-A,16-A,picea,picea,BRM,BM,BM1,BM1,blue,19,BRM4,20,75,205.95,2.746,41.4041,74.0209,NA,-74.0209,-74.0209,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,3,8.92774678,116.0453438,13.04185061,0.142806468,0.450947259,1.212175291,-0.028923165,-0.006230997,0.0031046,-0.013976924
26,APGXL-16-B,16-B,picea,picea,BRM,BM,BM2,BM2,blue,19,BRM8,20,100,170.02,1.7,41.404,74.0219,NA,-74.0219,-74.0219,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,3,6.301808919,79.73425221,15.26482262,2.12600159,0.434742577,1.137950313,-0.060684875,0.00602205,0.000275787,0.007864612
27,ApGXL-17-A,17-A,picea,picea,Bard,BA,BA1,BA1,blue,19,Bard10,20,87,220.41,2.533,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231,3,8.317370785,75.92358303,7.638697822,2.517082636,0.528819242,1.895404561,-0.059619309,0.005676113,0.000387081,0.007766805
28,ApGXL-17-B,17-B,picea,picea,Bard,BA,BA2,BA2,blue,19,Bard9,20,69,149.3,2.164,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231,3,4.657015394,63.39386753,9.391068969,2.221579639,0.428923047,1.242804651,-0.047713267,0.001061209,0.001700138,-0.005379697
29,ApGXL-17-C,17-C,picea,picea,Bard,BA,BA3,BA3,blue,19,Bard3,26,94,223.4,2.377,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231,3,13.55187718,81.36187669,13.20890727,1.015852244,1.221293524,1.363363004,-0.058220497,0.003788364,0.000478689,-0.012361201
30,ApGXL-18-A,18-A,fulva,fulva,Notch,NO,NO1,NO1,blue,19,Notch1,20,100,268.27,2.683,42.4983,73.0043,NA,-73.0043,-73.0043,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278,3,20.27178327,62.64687195,12.94911237,1.002280061,1.519053382,1.409409109,-0.046501883,0.001064755,0.001779552,0.001626872
31,ApGXL-18-C,18-C,rudis,rudis,Notch,NO,NO2,NO2,blue,19,Notch4,26,100,250.83,2.508,42.4983,73.0064,NA,-73.0064,-73.0064,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278,3,6.329295836,54.41136963,13.18744941,6.98868764,2.191854255,1.99745657,-0.05225196,0.002876668,0.001184812,0.001457397
32,ApGXL-18-D,18-D,fulva,fulva,Notch,NO,NO3,NO3,blue,19,Notch2,26,100,174.57,1.746,42.4984,73.0276,NA,-73.0276,-73.0276,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278,3,6.157106249,14.23537409,6.222926771,4.835080213,4.263269391,3.691940611,-0.073433601,0.009722963,-0.001048994,0.000863737
33,ApGXL-19-A,19-A,picea,picea,HF,HF,HF,HF1,blue,19,HF001,20,63,124.26,NA,42.5313,72.1898,NA,-72.1898,-72.1898,69,123,31,9272,264,-126,390,185,-43,185,-56,1137,104,80,8,303,257,303,262,3,18.68272885,104.0918341,9.632418556,1.270538167,0.335586327,1.551588114,-0.022339041,-0.008660582,0.003575982,-0.016386683
34,ApGXL-20-A,20-A,picea,picea,APB,AP,AP1,AP1,blue,19,APB10,20,NA,NA,NA,42.7184,73.8561,NA,-73.8561,-73.8561,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,3,3.812683136,26.74987646,4.773240803,4.36405644,0.98968081,2.745477253,-0.05793734,0.004191352,0.000637913,-0.006508327
35,ApGXL-20-B,20-B,picea,picea,APB,AP,AP2,AP2,blue,19,APB3a,20,100,201.35,2.014,42.7194,73.8561,NA,-73.8561,-73.8561,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,3,7.489414135,41.12232087,5.376019859,2.670800789,1.304713087,2.892931522,-0.076146762,0.010034889,-0.001235172,-0.01222028
