ID,Colony,Species,Species_2,Site,Site_2,Tree_site,Colony.ID,Rearing_Temp,initial_workers,initial_mass,Avg_WORK_wet_weight,lat,lon,Elevation,lon.2,lon.3,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
ApGXL-11-D,11-D,rudis,rudis,WP,WP,WP4,WP6,20,51,112.23,2.201,39.7261,76.0786,305,-76.0786,-76.0786,115,111,31,8679,293,-60,353,202,12,224,-1,1119,110,71,12,319,241,317,244
ApGXL-12-A,12-A,picea,picea,NOCK,NK,NK1,NOCK6,20,39,101.43,2.601,40.4392,75.25847,NA,-75.25847,-75.25847,105,115,31,8802,291,-71,362,194,-12,216,-12,1161,113,74,12,324,250,320,250
ApGXL-12-D,12-D,rudis,rudis,NOCK,NK,NK2,NOCK8,20,60,132.19,2.203,40.4396,75.25933,NA,-75.25933,-75.25933,105,115,31,8802,291,-71,362,194,-12,216,-12,1161,113,74,12,324,250,320,250
ApGXL-13-A,13-A,picea,picea,HSP,HP,HP1,HSP6,20,100,184.46,1.845,41.0226,75.71777,NA,-75.71777,-75.71777,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-13-B,13-B,picea,picea,HSP,HP,HP2,HSP7,20,100,190.03,1.9,41.0226,75.71777,NA,-75.71777,-75.71777,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-13-C,13-C,picea,picea,HSP,HP,HP3,HSP9,26,NA,NA,NA,41.0213,75.7173,NA,-75.7173,-75.7173,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-13-D,13-D,picea,picea,HSP,HP,HP4,HSP12,26,NA,NA,NA,41.0219,75.7172,NA,-75.7172,-75.7172,82,115,31,8832,268,-96,364,172,-24,193,-35,1146,114,72,14,334,231,326,235
ApGXL-15-A,15-A,picea,picea,DSF,DF,DF1,DSF4,20,35,60.94,1.741,41.298,75.0112,NA,-75.0112,-75.0112,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
ApGXL-15-B,15-B,picea,picea,DSF,DF,DF2,DSF11,20,100,254.89,2.549,41.3046,75.0098,NA,-75.0098,-75.0098,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
ApGXL-15-C,15-C,picea,picea,DSF,DF,DF3,DSF8,26,28,66.02,2.358,41.3012,75.0109,NA,-75.0109,-75.0109,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
ApGXL-15-D,15-D,picea,picea,DSF,DF,DF4,DSF12,26,68,172.86,2.542,41.3044,75.0093,NA,-75.0093,-75.0093,74,119,31,8909,260,-112,372,164,-34,185,-45,1134,113,73,12,322,239,312,240
APGXL-16-A,16-A,picea,picea,BRM,BM,BM1,BRM4,20,75,205.95,2.746,41.4041,74.0209,NA,-74.0209,-74.0209,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269
APGXL-16-B,16-B,picea,picea,BRM,BM,BM2,BRM8,20,100,170.02,1.7,41.404,74.0219,NA,-74.0219,-74.0219,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269
ApGXL-17-A,17-A,picea,picea,Bard,BA,BA1,Bard10,20,87,220.41,2.533,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231
ApGXL-17-B,17-B,picea,picea,Bard,BA,BA2,Bard9,20,69,149.3,2.164,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231
ApGXL-17-C,17-C,picea,picea,Bard,BA,BA3,Bard3,26,94,223.4,2.377,42.0174,73.9163,NA,-73.9163,-73.9163,91,124,31,9244,288,-101,389,185,-20,207,-33,1065,104,69,11,300,227,290,231
ApGXL-18-A,18-A,fulva,fulva,Notch,NO,NO1,Notch1,20,100,268.27,2.683,42.4983,73.0043,NA,-73.0043,-73.0043,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278
ApGXL-18-C,18-C,rudis,rudis,Notch,NO,NO2,Notch4,26,100,250.83,2.508,42.4983,73.0064,NA,-73.0064,-73.0064,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278
ApGXL-18-D,18-D,fulva,fulva,Notch,NO,NO3,Notch2,26,100,174.57,1.746,42.4984,73.0276,NA,-73.0276,-73.0276,61,109,29,9267,248,-126,374,156,-51,177,-63,1237,118,87,9,337,272,331,278
ApGXL-19-A,19-A,picea,picea,HF,HF,HF,HF001,20,63,124.26,NA,42.5313,72.1898,NA,-72.1898,-72.1898,69,123,31,9272,264,-126,390,185,-43,185,-56,1137,104,80,8,303,257,303,262
ApGXL-20-A,20-A,picea,picea,APB,AP,AP1,APB10,20,NA,NA,NA,42.7184,73.8561,NA,-73.8561,-73.8561,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195
ApGXL-20-B,20-B,picea,picea,APB,AP,AP2,APB3a,20,100,201.35,2.014,42.7194,73.8561,NA,-73.8561,-73.8561,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195
ApGXL-20-C,20-C,picea,picea,APB,AP,AP3,APB3b,26,100,157.12,1.571,42.7197,73.8566,NA,-73.8566,-73.8566,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195
ApGXL-20-D,20-D,picea,picea,APB,AP,AP4,APB8,26,100,217.2,2.172,42.7197,73.8566,NA,-73.8566,-73.8566,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195
ApGXL-21-A,21-A,picea,picea,Bear,BE,BE1,Bear6,20,100,204.14,2.041,43.0993,71.3481,NA,-71.3481,-71.3481,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255
ApGXL-21-B,21-B,picea,picea,Bear,BE,BE2,Bear5,20,80,197.69,2.471,43.0994,71.3481,NA,-71.3481,-71.3481,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255
ApGXL-21-C,21-C,picea,picea,Bear,BE,BE3,Bear3,26,NA,NA,NA,43.0996,71.3479,NA,-71.3479,-71.3479,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255
ApGXL-22-A,22-A,picea,picea,SEB,SE,SE1,SEB1,26,100,246.16,2.462,43.9235,70.5828,NA,-70.5828,-70.5828,69,123,30,9549,266,-135,401,23,180,189,-59,1152,124,83,12,333,257,267,280
ApGXL-22-B,22-B,picea,picea,SEB,SE,SE2,SEB8,20,86,174.92,2.034,43.9237,70.5828,NA,-70.5828,-70.5828,69,123,30,9549,266,-135,401,23,180,189,-59,1152,124,83,12,333,257,267,280
ApGXL-22-C,22-C,picea,picea,SEB,SE,SE3,SEB9,20,100,255.01,2.55,43.9239,70.5837,NA,-70.5837,-70.5837,68,124,30,9564,266,-137,403,22,179,188,-60,1155,125,83,12,334,259,269,281
ApGXL-23-A,23-A,picea,picea,MM,MM,MM1,MM1,26,60,128.51,2.142,44.1111,71.1403,NA,-71.1403,-71.1403,58,132,31,9815,265,-155,420,10,-61,180,-75,1205,123,86,10,339,266,307,285
ApGXL-23-B,23-B,picea,picea,MM,MM,MM2,MM2,26,43,79.69,1.853,44.1111,71.1403,NA,-71.1403,-71.1403,58,132,31,9815,265,-155,420,10,-61,180,-75,1205,123,86,10,339,266,307,285
ApGXL-23-C,23-C,picea,picea,MM,MM,MM3,MM4,20,70,177.7,2.539,44.111,71.1368,NA,-71.1368,-71.1368,58,132,31,9815,265,-155,420,10,-61,180,-75,1205,123,86,10,339,266,307,285
ApGXL-24-A,24-A,picea,picea,EW0,EW,EW1,EW09,20,40,110.81,2.77,44.4397,73.1969,978,-73.1969,-73.1969,69,112,27,10121,272,-136,408,195,-55,195,-67,876,102,45,23,279,149,279,154
ApGXL-24-B,24-B,picea,picea,EW,EW,EW2,EW4,26,45,111.95,2.488,44.4397,73.1969,978,-73.1969,-73.1969,69,112,27,10121,272,-136,408,195,-55,195,-67,876,102,45,23,279,149,279,154
ApGXL-25-A,25-A,picea,picea,RW,RW,RW1,RW3,20,100,274.91,2.749,44.4906,73.4855,NA,-73.4855,-73.4855,65,116,28,10061,268,-140,408,190,-58,190,-70,830,99,44,22,264,142,264,149
ApGXL-25-C,25-C,picea,picea,RW,RW,RW2,RW1,26,100,191.2,1.912,44.4906,73.4855,NA,-73.4855,-73.4855,65,116,28,10061,268,-140,408,190,-58,190,-70,830,99,44,22,264,142,264,149
ApGXL-25-D,25-D,picea,picea,RW,RW,RW3,RW5,26,94,201.02,2.139,44.4906,73.4855,NA,-73.4855,-73.4855,65,116,28,10061,268,-140,408,190,-58,190,-70,830,99,44,22,264,142,264,149
ApGXL-26-A,26-A,picea,picea,MB,MB,MB1,MB1,20,100,265.18,2.652,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202
ApGXL-26-B,26-B,picea,picea,MB,MB,MB2,MB3,20,39,56.44,1.447,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202
ApGXL-26-C,26-C,picea,picea,MB,MB,MB3,MB4,20,99,245.76,2.482,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202
ApGXL-26-D,26-D,picea,picea,MB,MB,MB4,MB2,26,100,243.45,2.435,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202
ApGXL-26-E,26-E,picea,picea,MB,MB,MB5,MB6,26,100,254.89,2.549,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202
ApGXL-27-A,27-A,picea,picea,KBH,KH,KH1,KBH4b,26,100,206.76,2.068,44.5675,69.9211,NA,-69.9211,-69.9211,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258
ApGXL-27-B,27-B,picea,picea,KBH,KH,KH2,KBH1,20,86,166.99,1.942,44.5676,69.9211,NA,-69.9211,-69.9211,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258
ApGXL-28-A,28-A,picea,picea,Brad,BR,BR1,Brad1,20,63,153.17,2.431,44.9341,68.5284,NA,-68.5284,-68.5284,60,118,29,9649,260,-141,401,16,-13,181,-70,1080,118,81,12,317,247,251,275
ApGXL-28-B,28-B,picea,picea,Brad,BR,BR2,Brad6,26,72,203.77,2.83,44.9818,68.5174,NA,-68.5174,-68.5174,60,119,29,9674,260,-143,403,15,-58,181,-71,1074,117,80,12,315,245,252,272
